Year,Average
1979,34.83333333
1980,41.06666667
1981,10.80833333
1982,-5.241666667
1983,-4.3
1984,-2.125
1985,-0.133333333
1986,-21.86666667
1987,4.516666667
1988,0.766666667
1989,9.966666667
1990,15.20833333
1991,-0.416666667
1992,-0.475
1993,-1.275
1994,0.141666667
1995,2.841666667
1996,6.866666667
1997,0.533333333
1998,-13.60833333
1999,9.775
2000,28.825
2001,-1.733333333
2002,-4.816666667
2003,14.54166667
2004,17.80833333
2005,21.49166667
2006,14.21666667
2007,8.991666667
2008,17.475
2009,-22.525
2010,20.26666667
2011,26.2
2012,3.566666667
2013,-2.858333333
2014,-4.6
2015,-26.59166667
2016,-11.49166667
2017,12.50833333
2018,13.30833333
2019,-3.325
2020,-16.125
2021,41.375
