,total_lots,lots_available
0,105,27
1,583,354
2,329,148
3,97,48
4,96,55
5,177,21
6,228,163
7,289,134
8,332,133
9,273,107
10,543,241
11,133,62
12,189,124
13,138,58
14,48,0
15,612,121
16,143,0
17,81,10
18,308,135
19,302,114
20,221,74
21,238,86
22,362,145
23,351,95
24,249,174
25,30,4
26,107,24
27,245,65
28,84,18
29,197,108
30,511,146
31,208,61
32,143,49
33,96,39
34,30,0
35,408,105
36,205,97
37,363,72
38,707,282
39,339,201
40,320,181
41,56,0
42,352,264
43,270,86
44,65,25
45,181,31
46,15,0
47,362,215
48,13,9
49,129,57
50,123,45
51,679,190
52,482,141
53,226,68
54,141,66
55,190,85
56,63,0
57,239,55
58,677,395
59,187,69
60,591,394
61,206,27
62,341,229
63,199,74
64,368,143
65,391,149
66,342,239
67,213,146
68,92,1
69,368,154
70,200,103
71,308,158
72,1174,495
73,149,30
74,239,157
75,172,35
76,388,243
77,208,109
78,176,91
79,362,160
80,54,0
81,151,71
82,286,119
83,553,271
84,58,7
85,350,129
86,144,37
87,250,75
88,626,137
89,655,318
90,215,56
91,866,360
92,922,597
93,291,101
94,43,4
95,501,188
96,95,12
97,159,65
98,175,135
99,459,104
100,475,186
101,513,249
102,257,97
103,355,208
104,303,137
105,459,237
106,66,0
107,550,425
108,217,47
109,82,0
110,259,203
111,745,299
112,57,39
113,47,30
114,172,140
115,150,55
116,406,215
117,176,55
118,124,36
119,36,14
120,91,23
121,17,1
122,35,5
123,39,13
124,222,151
125,220,66
126,396,195
127,522,262
128,257,90
129,192,103
130,345,120
131,166,13
132,346,126
133,83,13
134,53,8
135,668,459
136,119,14
137,383,213
138,85,0
139,116,76
140,247,23
141,343,158
142,342,204
143,358,172
144,257,99
145,815,492
146,808,302
147,75,22
148,823,169
149,181,53
150,45,12
151,406,247
152,329,132
153,310,97
154,100,24
155,550,175
156,172,108
157,324,127
158,669,398
159,1054,305
160,366,251
161,450,163
162,232,126
163,192,142
164,93,38
165,101,57
166,490,278
167,462,280
168,205,40
169,735,400
170,1000,19
171,1000,53
172,400,43
173,595,179
174,625,199
175,46,22
176,364,110
177,713,267
178,495,195
179,313,125
180,1109,491
181,361,142
182,123,9
183,126,44
184,223,165
185,269,105
186,60,22
187,53,10
188,460,280
189,220,105
190,150,50
191,384,68
192,338,272
193,20,0
194,312,96
195,143,87
196,25,0
197,298,121
198,19,0
199,30,3
200,15,7
201,59,1
202,47,6
203,46,0
204,292,95
205,496,256
206,336,109
207,243,54
208,350,220
209,348,200
210,413,212
211,228,26
212,1000,217
213,224,65
214,70,6
215,10,0
216,453,158
217,298,192
218,108,17
219,355,101
220,338,121
221,353,286
222,348,144
223,392,152
224,380,105
225,121,25
226,68,27
227,578,311
228,100,0
229,743,280
230,85,0
231,39,28
232,236,131
233,129,0
234,106,31
235,247,205
236,551,458
237,120,120
238,75,75
239,75,75
240,104,49
241,57,24
242,341,0
243,414,224
244,755,513
245,833,432
246,384,384
247,842,829
248,115,72
249,91,41
250,385,92
251,287,137
252,544,284
253,198,0
254,548,346
255,29,0
256,20,0
257,185,131
258,167,0
259,309,229
260,19,0
261,28,2
262,88,38
263,88,20
264,484,312
265,140,60
266,140,52
267,140,61
268,512,306
269,50,0
270,216,115
271,550,354
272,585,272
273,344,161
274,938,364
275,141,22
276,750,286
277,373,283
278,371,113
279,444,192
280,673,360
281,695,533
282,396,118
283,302,95
284,198,69
285,1004,715
286,387,167
287,420,202
288,306,140
289,543,287
290,118,26
291,201,64
292,146,57
293,108,56
294,873,555
295,554,254
296,285,146
297,220,40
298,300,93
299,300,162
300,407,210
301,611,377
302,202,0
303,767,414
304,374,248
305,104,35
306,318,161
307,218,72
308,326,113
309,185,53
310,136,23
311,290,153
312,389,211
313,931,412
314,232,143
315,318,117
316,669,573
317,457,148
318,672,343
319,235,89
320,193,53
321,200,50
322,158,24
323,134,67
324,185,36
325,500,311
326,520,307
327,150,47
328,476,332
329,12,0
330,191,77
331,222,146
332,200,90
333,388,179
334,253,252
335,584,311
336,200,42
337,285,91
338,318,140
339,64,15
340,75,14
341,196,57
342,272,154
343,250,186
344,250,179
345,50,8
346,164,73
347,212,77
348,41,4
349,267,124
350,563,471
351,361,161
352,262,125
353,60,24
354,1145,546
355,353,122
356,419,242
357,998,806
358,1272,1018
360,381,227
361,167,7
362,225,112
363,369,167
364,233,73
365,317,207
366,162,44
367,296,143
368,354,106
369,200,57
370,208,121
371,94,19
372,374,211
373,264,77
374,233,94
375,700,435
376,1164,690
377,646,473
378,113,52
379,517,419
380,282,85
381,356,96
382,26,1
383,184,118
384,289,146
385,676,472
386,451,183
387,83,0
388,97,68
389,517,326
390,206,54
391,116,0
392,183,70
393,36,2
394,250,91
395,472,289
396,220,97
397,525,311
398,89,89
399,358,181
400,717,363
401,1052,0
402,644,443
403,361,165
404,148,0
405,51,6
406,360,266
407,42,30
408,719,323
409,256,127
410,414,211
411,419,206
412,64,10
413,420,173
414,316,154
415,241,107
416,419,142
417,159,54
418,128,54
419,325,269
420,115,5
421,214,62
422,347,194
423,543,468
424,27,2
425,343,232
426,287,55
427,143,84
428,76,45
429,427,182
430,259,94
431,516,217
432,4,4
433,12,2
434,401,287
435,168,93
436,779,265
437,713,327
438,367,98
439,248,213
440,288,247
441,28,16
442,882,313
443,392,168
444,147,15
445,326,137
446,474,343
447,559,319
448,450,89
449,16,9
450,512,175
451,252,248
452,466,200
453,1214,616
454,951,475
455,290,116
456,303,133
457,285,142
458,269,122
459,207,85
460,430,238
461,435,257
462,46,2
463,58,5
464,154,2
465,77,18
466,106,47
467,35,27
468,154,62
469,188,150
470,1165,795
471,754,494
472,220,16
473,222,66
474,793,227
475,1176,610
476,270,120
477,1000,85
478,499,99
479,557,131
480,424,201
481,126,10
482,470,204
483,176,98
484,563,455
485,288,191
486,73,0
487,245,92
488,337,146
489,466,307
490,188,107
491,1200,469
492,383,209
493,661,237
494,280,138
495,323,163
496,212,102
497,767,363
498,239,134
499,369,195
500,196,118
501,427,139
502,10,4
503,376,0
504,200,147
505,150,24
506,1083,530
507,450,19
508,415,240
509,350,204
510,458,144
511,337,185
512,441,186
513,466,196
514,535,171
515,121,20
516,191,80
517,603,372
518,591,388
519,489,328
520,502,345
521,367,218
522,1061,676
523,538,323
524,505,330
526,641,387
527,385,319
528,503,250
530,678,299
531,697,328
532,262,66
533,403,144
534,206,92
535,225,53
536,31,10
537,473,170
538,251,183
539,335,140
540,807,335
541,286,126
542,554,114
543,367,208
544,297,117
545,375,259
546,101,41
547,266,178
548,27,7
549,3,28
550,667,232
551,21,0
552,77,0
553,789,445
554,387,202
555,4,3
556,2,0
557,383,260
558,714,489
560,395,283
561,498,341
562,8,8
563,359,180
565,15,12
566,272,167
567,395,230
568,644,401
570,628,437
571,922,720
572,202,105
573,550,331
574,715,487
575,63,14
577,538,342
578,465,286
579,674,465
580,394,218
581,609,331
582,283,188
583,362,190
584,556,381
585,593,386
586,412,88
587,429,230
588,494,278
589,539,395
590,35,1
591,183,36
592,408,250
593,280,141
594,64,16
595,181,64
596,53,29
597,29,6
598,135,58
599,38,94
600,143,63
601,395,254
602,103,47
603,192,120
604,102,58
605,50,8
606,285,155
607,27,0
608,245,72
609,324,129
610,108,18
611,322,95
612,350,209
613,486,345
614,295,96
615,291,149
616,452,251
617,50,3
618,285,137
619,352,175
620,411,125
621,563,170
622,382,231
623,355,213
624,350,238
625,628,216
626,304,121
627,833,455
628,254,201
629,304,242
630,539,193
631,116,46
632,57,2
633,275,113
634,330,120
635,435,207
636,421,208
637,371,159
638,415,236
639,256,114
640,245,100
641,152,36
642,248,105
643,364,92
644,521,193
645,376,156
646,294,63
647,446,340
648,2,6
649,3,6
650,263,83
651,293,134
652,850,458
653,472,328
654,360,217
655,865,582
657,677,539
658,354,203
659,75,51
660,507,322
661,653,424
662,355,148
663,473,350
665,314,183
666,293,153
667,658,392
668,411,152
669,520,265
670,4,0
671,547,285
672,6,6
673,537,436
674,741,489
675,277,115
676,283,154
677,298,111
678,204,70
679,222,62
680,203,93
681,48,0
682,430,193
683,243,54
684,458,196
685,598,233
686,39,14
687,354,127
688,428,162
689,476,207
690,175,48
691,129,73
692,433,149
693,553,346
694,588,427
695,407,260
696,430,321
697,1074,669
698,1074,669
699,817,292
700,366,194
701,699,365
702,492,0
703,32,10
704,29,5
705,483,225
706,82,14
707,402,255
708,31,0
709,852,495
710,119,18
711,421,211
712,674,273
713,89,12
714,149,88
715,33,2
716,147,85
717,95,16
718,73,0
719,132,82
720,535,325
721,269,262
722,290,201
723,792,430
724,50,15
725,45,3
726,194,94
727,355,162
728,247,62
729,70,1
730,55,0
731,159,119
732,429,170
733,260,119
734,74,14
735,244,35
736,312,139
737,352,111
738,159,55
739,87,24
740,616,497
741,162,117
742,159,27
743,33,2
744,76,36
745,212,1
746,456,295
747,444,275
748,625,344
749,352,203
750,220,144
751,332,198
752,65,5
753,362,223
754,295,0
755,48,8
756,345,210
757,300,232
758,200,87
759,770,379
760,647,302
761,170,104
762,711,292
763,245,116
764,94,28
765,36,11
766,60,42
767,150,36
768,30,2
769,504,352
770,962,594
771,1000,571
772,356,198
773,220,112
774,148,103
775,82,25
776,386,286
777,21,0
778,93,54
779,26,0
780,124,74
781,492,291
782,433,304
783,247,74
784,429,213
785,465,304
786,380,183
787,169,74
788,100,100
789,131,85
790,35,0
791,222,83
792,646,407
793,282,60
794,20,0
795,433,278
796,70,0
797,287,108
798,186,106
799,379,245
800,841,344
801,736,183
802,493,199
803,175,11
804,175,15
805,245,112
806,87,2
807,367,270
808,310,172
809,337,248
810,705,241
811,248,124
812,187,81
813,757,350
814,342,149
815,270,168
816,423,282
817,490,309
818,401,131
819,383,306
820,896,607
821,150,127
822,40,16
823,43,0
824,154,68
825,243,52
826,192,38
827,205,60
828,212,76
829,171,94
830,231,85
831,299,79
832,249,164
833,377,132
834,189,70
836,587,362
837,447,280
838,483,280
839,421,257
840,467,237
841,444,288
842,411,324
843,285,143
844,773,285
846,1088,763
847,350,318
848,548,548
849,386,157
850,272,81
851,553,282
852,131,41
853,517,290
854,200,49
855,6,0
856,365,122
857,502,216
858,208,30
859,105,22
860,105,45
861,105,45
862,294,116
863,230,152
864,355,236
865,434,165
866,376,249
867,429,217
868,350,212
869,460,287
870,360,247
871,358,208
872,371,363
873,360,352
874,360,353
875,10,0
876,200,196
877,967,789
878,526,397
879,20,10
880,4,0
881,335,157
882,154,0
883,264,123
884,278,127
885,78,41
886,164,83
887,82,35
888,85,40
889,90,0
890,183,116
891,215,163
892,31,0
893,187,32
894,200,81
895,360,147
896,134,40
897,114,20
898,20,0
899,456,190
900,323,130
901,256,131
902,275,116
903,162,90
904,114,39
905,183,43
906,187,104
907,189,90
908,200,92
909,211,66
910,370,238
911,200,66
912,800,487
913,852,840
914,505,312
915,601,435
916,633,492
917,145,99
918,172,140
919,458,243
920,246,163
921,657,402
922,173,88
923,266,124
924,259,94
925,777,518
926,181,200
927,181,200
928,225,68
929,823,655
930,404,230
931,1010,808
932,320,120
933,51,9
934,20,8
935,200,78
936,148,55
937,199,92
938,100,0
939,221,134
940,139,59
941,343,124
942,153,76
943,291,53
944,749,538
945,399,208
946,192,87
947,321,151
948,464,213
949,84,5
950,310,72
951,157,39
952,251,109
953,354,175
954,762,579
955,188,97
956,234,143
957,175,93
959,120,81
960,98,43
961,213,48
962,154,76
963,20,0
964,50,50
965,18,4
966,46,40
967,133,27
968,194,101
969,85,28
970,593,199
971,90,43
972,64,22
974,702,480
975,691,681
976,478,364
977,481,480
978,345,186
979,1194,1032
980,223,98
981,555,485
982,306,232
983,745,381
984,288,272
985,543,219
986,441,227
987,440,439
988,305,177
989,296,154
990,307,83
991,86,0
992,454,245
993,452,195
994,442,203
995,1159,477
996,251,101
997,291,162
998,8,4
999,28,0
1000,21,9
1001,425,272
1002,618,407
1003,654,421
1004,18,0
1005,490,280
1006,322,204
1007,401,264
1008,443,311
1009,389,231
1010,520,249
1011,41,18
1012,169,84
1013,400,71
1014,302,301
1015,244,104
1016,18,0
1017,160,101
1018,616,261
1019,137,111
1020,263,175
1021,269,97
1022,178,50
1023,486,259
1024,436,137
1025,279,61
1026,558,234
1027,239,66
1028,214,93
1029,380,131
1030,186,121
1031,333,170
1032,173,162
1033,323,126
1034,149,31
1035,407,208
1036,21,12
1037,1095,317
1038,296,158
1039,296,159
1040,329,169
1041,208,80
1042,168,103
1043,309,248
1044,160,62
1045,236,163
1046,284,94
1047,630,255
1048,272,84
1049,231,89
1050,348,193
1051,437,234
1052,361,165
1053,207,135
1054,358,164
1055,447,180
1056,306,86
1057,338,162
1058,345,160
1059,290,109
1060,272,135
1061,428,245
1062,408,221
1063,819,330
1064,460,283
1065,1202,546
1066,197,74
1067,501,245
1068,446,268
1069,407,216
1070,277,258
1071,234,113
1072,286,149
1073,80,0
1074,10,10
1075,559,280
1076,460,234
1077,645,249
1078,342,213
1079,260,159
1080,776,587
1081,150,0
1082,870,693
1083,743,351
1084,269,120
1085,234,165
1086,210,78
1087,692,249
1088,26,3
1089,420,378
1090,229,113
1091,323,196
1092,407,212
1093,200,38
1094,514,378
1095,392,226
1096,418,209
1097,471,284
1098,483,322
1099,471,284
1100,541,372
1101,227,0
1102,127,67
1103,131,84
1104,59,0
1105,22,16
1106,918,668
1107,1052,834
1108,709,526
1109,696,502
1110,126,39
1111,395,284
1112,45,0
1113,809,270
1114,46,0
1115,114,46
1116,407,260
1117,125,50
1118,458,302
1119,273,151
1120,383,217
1121,668,386
1122,615,385
1123,615,408
1124,417,172
1125,669,211
1126,587,313
1127,466,172
1128,459,279
1129,10,10
1130,447,310
1131,444,227
1132,63,11
1133,37,5
1134,311,217
1135,16,5
1136,994,734
1137,60,45
1138,146,29
1139,603,267
1140,127,22
1141,234,104
1142,95,14
1143,95,44
1144,486,321
1145,196,133
1146,555,251
1147,397,164
1148,62,20
1149,132,38
1150,100,39
1151,206,70
1152,607,320
1153,31,7
1154,148,125
1155,341,139
1156,366,86
1157,423,235
1158,400,312
1159,529,376
1160,379,306
1161,356,143
1162,573,207
1163,508,267
1164,165,135
1165,357,130
1166,40,7
1167,124,56
1168,308,136
1169,166,98
1170,568,232
1171,590,212
1172,282,47
1173,450,308
1174,464,333
1175,380,237
1176,472,209
1177,351,268
1178,322,140
1179,950,388
1180,515,369
1181,351,173
1182,294,132
1183,39,16
1184,364,190
1185,118,92
1186,190,70
1187,393,188
1188,226,125
1189,193,72
1190,462,183
1191,685,299
1192,299,142
1193,284,125
1194,216,147
1195,34,11
1196,40,11
1197,201,49
1198,316,173
1199,26,0
1200,217,78
1201,66,0
1202,183,65
1203,412,171
1204,50,10
1205,365,178
1206,21,0
1207,212,128
1208,559,364
1209,438,275
1210,186,30
1211,508,283
1212,21,18
1213,87,87
1214,233,124
1215,417,207
1216,387,131
1217,147,30
1218,123,59
1219,560,305
1220,548,321
1221,363,228
1222,321,140
1223,509,319
1224,38,20
1225,280,111
1226,124,52
1227,696,359
1228,295,143
1229,302,128
1230,20,1
1231,40,20
1232,293,144
1233,136,72
1234,228,112
1235,256,84
1236,410,190
1237,314,27
1238,314,74
1239,137,35
1240,34,4
1241,30,0
1242,31,2
1243,330,291
1244,860,535
1245,1080,443
1246,487,276
1247,143,107
1248,385,197
1249,4,4
1250,64,30
1251,52,8
1252,359,231
1253,242,121
1254,277,101
1255,102,49
1256,229,74
1257,336,202
1258,198,53
1259,680,368
1260,22,0
1261,38,0
1262,428,151
1263,534,312
