,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
0,2022,Cat A (Cars up to 1600cc and 97kW),531,57898,711,526
1,2022,Cat A (Cars up to 1600cc and 97kW),543,57599,760,533
2,2021,Cat A (Cars up to 1600cc and 97kW),534,58801,740,534
3,2021,Cat A (Cars up to 1600cc and 97kW),536,57010,771,525
4,2021,Cat A (Cars up to 1600cc and 97kW),537,55001,706,535
5,2021,Cat A (Cars up to 1600cc and 97kW),536,53709,834,531
6,2021,Cat A (Cars up to 1600cc and 97kW),811,52709,1304,806
7,2021,Cat A (Cars up to 1600cc and 97kW),816,47001,1077,812
8,2021,Cat A (Cars up to 1600cc and 97kW),803,48000,1040,795
9,2021,Cat A (Cars up to 1600cc and 97kW),804,47000,1124,790
10,2021,Cat A (Cars up to 1600cc and 97kW),806,46689,1127,806
11,2021,Cat A (Cars up to 1600cc and 97kW),805,45189,1021,804
12,2021,Cat A (Cars up to 1600cc and 97kW),836,47010,1240,832
13,2021,Cat A (Cars up to 1600cc and 97kW),867,45001,1149,864
14,2021,Cat A (Cars up to 1600cc and 97kW),830,47821,1178,823
15,2021,Cat A (Cars up to 1600cc and 97kW),858,48510,1439,820
16,2021,Cat A (Cars up to 1600cc and 97kW),835,41801,1209,834
17,2021,Cat A (Cars up to 1600cc and 97kW),832,48002,1100,803
18,2021,Cat A (Cars up to 1600cc and 97kW),890,49640,1290,883
19,2021,Cat A (Cars up to 1600cc and 97kW),883,45600,1212,880
20,2021,Cat A (Cars up to 1600cc and 97kW),886,44589,1186,879
21,2021,Cat A (Cars up to 1600cc and 97kW),887,41996,1175,887
22,2021,Cat A (Cars up to 1600cc and 97kW),903,41001,1226,900
23,2021,Cat A (Cars up to 1600cc and 97kW),885,42000,1098,881
24,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
25,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
26,2020,Cat A (Cars up to 1600cc and 97kW),969,40556,1403,966
27,2020,Cat A (Cars up to 1600cc and 97kW),978,40714,1620,978
28,2020,Cat A (Cars up to 1600cc and 97kW),972,37690,1361,966
29,2020,Cat A (Cars up to 1600cc and 97kW),967,35990,1262,952
30,2020,Cat A (Cars up to 1600cc and 97kW),916,37334,1323,907
31,2020,Cat A (Cars up to 1600cc and 97kW),912,36534,1272,907
32,2020,Cat A (Cars up to 1600cc and 97kW),1034,38504,1540,1031
33,2020,Cat A (Cars up to 1600cc and 97kW),1035,37766,1737,1035
34,2020,Cat A (Cars up to 1600cc and 97kW),1034,35710,2099,1019
35,2020,Cat A (Cars up to 1600cc and 97kW),1022,33000,2047,1007
36,2020,Cat A (Cars up to 1600cc and 97kW),1304,32699,2485,1290
37,2020,Cat A (Cars up to 1600cc and 97kW),1289,33520,3061,1286
38,2020,Cat A (Cars up to 1600cc and 97kW),982,31210,1421,962
39,2020,Cat A (Cars up to 1600cc and 97kW),978,32699,1436,973
40,2020,Cat A (Cars up to 1600cc and 97kW),982,32999,1564,973
41,2020,Cat A (Cars up to 1600cc and 97kW),982,30010,1204,977
42,2020,Cat A (Cars up to 1600cc and 97kW),1034,35010,1390,1025
43,2020,Cat A (Cars up to 1600cc and 97kW),1035,35320,1450,1026
44,2019,Cat A (Cars up to 1600cc and 97kW),1029,32889,1256,1013
45,2019,Cat A (Cars up to 1600cc and 97kW),1030,33009,1386,1013
46,2019,Cat A (Cars up to 1600cc and 97kW),1023,32000,1468,1012
47,2019,Cat A (Cars up to 1600cc and 97kW),1043,30000,1302,1031
48,2019,Cat A (Cars up to 1600cc and 97kW),1060,32309,1467,1056
49,2019,Cat A (Cars up to 1600cc and 97kW),1057,34001,1659,1033
50,2019,Cat A (Cars up to 1600cc and 97kW),1056,31759,1453,1053
51,2019,Cat A (Cars up to 1600cc and 97kW),1056,31783,1656,1056
52,2019,Cat A (Cars up to 1600cc and 97kW),1062,31917,1725,1062
53,2019,Cat A (Cars up to 1600cc and 97kW),1059,32725,2023,1059
54,2019,Cat A (Cars up to 1600cc and 97kW),1623,26667,1902,1617
55,2019,Cat A (Cars up to 1600cc and 97kW),1431,28589,1795,1428
56,2019,Cat A (Cars up to 1600cc and 97kW),1424,26999,1742,1225
57,2019,Cat A (Cars up to 1600cc and 97kW),1424,30009,1902,1417
58,2019,Cat A (Cars up to 1600cc and 97kW),1475,27000,1799,1475
59,2019,Cat A (Cars up to 1600cc and 97kW),1431,36704,1988,1431
60,2019,Cat A (Cars up to 1600cc and 97kW),1653,33199,2249,1603
61,2019,Cat A (Cars up to 1600cc and 97kW),1656,29159,2338,1650
62,2019,Cat A (Cars up to 1600cc and 97kW),1650,26659,2204,1647
63,2019,Cat A (Cars up to 1600cc and 97kW),1659,26309,2213,1653
64,2019,Cat A (Cars up to 1600cc and 97kW),1650,26301,2261,1650
65,2019,Cat A (Cars up to 1600cc and 97kW),1662,25689,2371,1653
66,2019,Cat A (Cars up to 1600cc and 97kW),1818,26170,2864,1818
67,2019,Cat A (Cars up to 1600cc and 97kW),1815,25920,2707,1804
68,2018,Cat A (Cars up to 1600cc and 97kW),1890,25501,2729,1887
69,2018,Cat A (Cars up to 1600cc and 97kW),1878,23568,2177,1878
70,2018,Cat A (Cars up to 1600cc and 97kW),1818,25000,2231,1744
71,2018,Cat A (Cars up to 1600cc and 97kW),1819,28199,2849,1757
72,2018,Cat A (Cars up to 1600cc and 97kW),1674,25556,1811,1672
73,2018,Cat A (Cars up to 1600cc and 97kW),1668,28457,2059,1665
74,2018,Cat A (Cars up to 1600cc and 97kW),1664,28000,2059,1655
75,2018,Cat A (Cars up to 1600cc and 97kW),1664,30209,2488,1661
76,2018,Cat A (Cars up to 1600cc and 97kW),1695,31997,2948,1695
77,2018,Cat A (Cars up to 1600cc and 97kW),1672,33798,3633,1672
78,2018,Cat A (Cars up to 1600cc and 97kW),1443,32699,3100,1412
79,2018,Cat A (Cars up to 1600cc and 97kW),1435,25000,1626,1427
80,2018,Cat A (Cars up to 1600cc and 97kW),1446,34110,1818,1437
81,2018,Cat A (Cars up to 1600cc and 97kW),1441,36426,1696,1440
82,2018,Cat A (Cars up to 1600cc and 97kW),1434,38001,1805,1422
83,2018,Cat A (Cars up to 1600cc and 97kW),1435,38941,1836,1428
84,2018,Cat A (Cars up to 1600cc and 97kW),1566,38510,2027,1566
85,2018,Cat A (Cars up to 1600cc and 97kW),1566,37000,1888,1564
86,2018,Cat A (Cars up to 1600cc and 97kW),1559,38000,2117,1551
87,2018,Cat A (Cars up to 1600cc and 97kW),1580,38830,2405,1572
88,2018,Cat A (Cars up to 1600cc and 97kW),1562,36810,2073,1561
89,2018,Cat A (Cars up to 1600cc and 97kW),1557,40000,2389,1534
90,2018,Cat A (Cars up to 1600cc and 97kW),1713,36890,1938,1708
91,2018,Cat A (Cars up to 1600cc and 97kW),1693,41400,2264,1693
92,2017,Cat A (Cars up to 1600cc and 97kW),1687,38200,1970,1654
93,2017,Cat A (Cars up to 1600cc and 97kW),1680,42339,2158,1667
94,2017,Cat A (Cars up to 1600cc and 97kW),1686,46791,2721,1679
95,2017,Cat A (Cars up to 1600cc and 97kW),1683,47112,3430,1683
96,2017,Cat A (Cars up to 1600cc and 97kW),1815,41617,2391,1809
97,2017,Cat A (Cars up to 1600cc and 97kW),1829,41761,2808,1827
98,2017,Cat A (Cars up to 1600cc and 97kW),1815,42902,3469,1815
99,2017,Cat A (Cars up to 1600cc and 97kW),1820,36001,2195,1806
100,2017,Cat A (Cars up to 1600cc and 97kW),1817,42900,2148,1817
101,2017,Cat A (Cars up to 1600cc and 97kW),1817,46778,2403,1812
102,2017,Cat A (Cars up to 1600cc and 97kW),1907,44002,2389,1905
103,2017,Cat A (Cars up to 1600cc and 97kW),1904,42801,2296,1902
104,2017,Cat A (Cars up to 1600cc and 97kW),1906,42801,2302,1898
105,2017,Cat A (Cars up to 1600cc and 97kW),1898,45201,2245,1893
106,2017,Cat A (Cars up to 1600cc and 97kW),1920,46489,2601,1913
107,2017,Cat A (Cars up to 1600cc and 97kW),1905,51106,2240,1905
108,2017,Cat A (Cars up to 1600cc and 97kW),2052,51600,2442,2030
109,2017,Cat A (Cars up to 1600cc and 97kW),2068,52000,2486,2061
110,2017,Cat A (Cars up to 1600cc and 97kW),2096,51765,2961,2096
111,2017,Cat A (Cars up to 1600cc and 97kW),2061,50789,3190,2045
112,2017,Cat A (Cars up to 1600cc and 97kW),2133,49430,2926,2089
113,2017,Cat A (Cars up to 1600cc and 97kW),2060,48401,2691,2051
114,2017,Cat A (Cars up to 1600cc and 97kW),1846,50889,2437,1766
115,2017,Cat A (Cars up to 1600cc and 97kW),1877,50101,2260,1870
116,2016,Cat A (Cars up to 1600cc and 97kW),1844,49751,2554,1843
117,2016,Cat A (Cars up to 1600cc and 97kW),1844,48000,2335,1812
118,2016,Cat A (Cars up to 1600cc and 97kW),1846,50951,2536,1846
119,2016,Cat A (Cars up to 1600cc and 97kW),1929,52668,2800,1929
120,2016,Cat A (Cars up to 1600cc and 97kW),2023,50991,2584,2021
121,2016,Cat A (Cars up to 1600cc and 97kW),2064,51507,2938,1979
122,2016,Cat A (Cars up to 1600cc and 97kW),2008,50000,2610,1993
123,2016,Cat A (Cars up to 1600cc and 97kW),2067,51506,2739,2011
124,2016,Cat A (Cars up to 1600cc and 97kW),2034,53334,2803,2034
125,2016,Cat A (Cars up to 1600cc and 97kW),2018,52503,2712,1959
126,2016,Cat A (Cars up to 1600cc and 97kW),2272,53000,3195,2246
127,2016,Cat A (Cars up to 1600cc and 97kW),2222,52301,3194,2212
128,2016,Cat A (Cars up to 1600cc and 97kW),2252,55200,3957,2197
129,2016,Cat A (Cars up to 1600cc and 97kW),2218,53694,4545,2213
130,2016,Cat A (Cars up to 1600cc and 97kW),2217,47020,3227,2182
