,Cat A (Cars up to 1600cc and 97kW),Cat B (Cars above 1600cc or 97kW),Cat C (Goods vehicles and buses),Cat D (Motorcycles),Cat E (Open)
0,74.0,64.3,61.1,77.1,64.2
1,70.1,82.3,43.9,74.9,77.2
2,72.2,71.2,59.3,75.1,73.4
3,68.1,72.1,63.3,68.5,59.2
4,75.8,73.4,55.5,71.3,52.6
5,63.7,69.2,51.4,75.3,60.3
6,61.8,61.9,49.6,75.2,48.8
7,75.4,68.5,52.8,69.2,45.2
8,76.4,64.6,54.2,67.3,46.5
9,70.3,73.0,53.6,79.2,59.6
10,71.5,74.5,51.4,70.4,48.3
11,78.7,76.6,47.6,67.3,66.0
12,67.1,71.9,48.4,75.2,65.2
13,75.2,77.3,46.8,80.5,61.8
14,69.9,81.3,47.9,66.8,49.5
15,57.0,70.8,46.0,80.4,78.2
16,69.0,75.0,26.3,69.1,65.0
17,73.0,65.4,45.6,70.9,69.3
18,68.4,59.9,58.0,72.5,46.6
19,72.6,62.3,53.9,71.3,45.0
20,74.1,76.3,56.4,76.9,67.7
21,75.5,82.6,51.7,74.1,65.8
22,73.4,80.3,52.6,77.5,60.0
23,80.2,85.2,54.1,81.1,69.0
24,75.2,73.1,51.8,72.0,61.1
25,75.2,73.1,51.8,72.0,61.1
26,68.9,61.2,55.5,71.4,68.2
27,60.4,59.5,60.6,68.1,63.9
28,71.0,64.5,61.5,78.4,63.8
29,75.4,69.6,66.3,73.2,67.8
30,68.6,62.3,58.6,73.2,55.5
31,71.3,65.7,53.5,62.0,61.9
32,66.9,60.9,58.5,76.6,69.7
33,59.6,52.0,66.7,70.6,69.9
34,48.5,52.8,60.8,61.6,61.1
35,49.2,46.8,53.8,69.0,59.4
36,51.9,52.7,63.5,63.8,61.3
37,42.0,39.9,55.5,53.1,46.5
38,67.7,69.0,63.3,76.1,64.4
39,67.8,73.3,62.5,74.8,64.6
40,62.2,67.0,39.0,78.7,58.9
41,81.1,83.5,62.3,68.5,62.9
42,73.7,87.1,57.9,74.0,73.5
43,70.8,83.1,70.2,65.1,69.7
44,80.7,81.1,69.6,81.9,75.2
45,73.1,79.3,78.4,74.7,72.8
46,68.9,76.3,65.1,71.0,70.9
47,79.2,78.4,72.3,83.2,64.1
48,72.0,69.0,63.6,75.4,70.4
49,62.3,66.8,54.8,73.6,59.6
50,72.5,73.5,51.8,74.6,55.4
51,63.8,80.7,67.0,65.6,63.4
52,61.6,73.7,63.5,56.8,59.5
53,52.3,70.1,55.5,72.2,59.9
54,85.0,68.0,59.8,75.2,48.9
55,79.6,81.7,58.9,78.0,72.1
56,70.3,80.2,64.3,76.3,70.9
57,74.5,84.5,72.7,80.1,51.8
58,82.0,82.5,67.7,74.3,59.9
59,72.0,83.8,64.6,77.6,73.9
60,71.3,72.3,50.7,73.9,58.6
61,70.6,67.5,70.5,67.3,60.3
62,74.7,63.6,74.0,79.4,54.2
63,74.7,64.6,67.9,70.0,58.8
64,73.0,60.9,70.7,74.3,61.9
65,69.7,60.4,69.5,71.6,71.9
66,63.5,58.0,63.7,74.9,66.5
67,66.6,68.3,65.3,79.0,69.6
68,69.1,68.5,63.2,81.0,70.1
69,86.3,69.1,67.1,75.1,53.5
70,78.2,69.1,56.4,76.8,58.7
71,61.7,58.9,72.2,71.5,63.1
72,92.3,68.3,74.3,68.2,67.7
73,80.9,65.8,65.1,71.0,50.9
74,80.4,68.3,57.4,74.8,55.9
75,66.8,64.7,62.3,71.5,50.3
76,57.5,62.0,32.1,70.0,56.6
77,46.0,58.9,60.1,65.5,58.5
78,45.5,66.6,46.3,69.0,51.6
79,87.8,78.7,50.8,72.7,59.7
80,79.0,75.8,53.5,67.1,66.8
81,84.9,74.4,60.9,58.8,56.6
82,78.8,65.1,48.6,58.9,63.8
83,77.8,58.8,30.8,44.0,55.8
84,77.3,73.7,39.3,70.8,55.6
85,82.8,82.2,58.0,50.7,62.5
86,73.3,83.8,61.9,64.4,57.7
87,65.4,80.3,45.3,59.3,54.3
88,75.3,79.1,52.4,52.9,47.8
89,64.2,76.2,51.2,65.2,71.1
90,88.1,83.4,61.9,63.6,60.6
91,74.8,75.5,53.9,44.9,56.1
92,84.0,83.7,48.1,61.6,52.7
93,77.2,76.2,61.5,63.2,64.6
94,61.7,63.6,67.7,75.3,59.0
95,49.1,54.7,53.3,73.5,57.1
96,75.7,74.3,72.5,65.4,66.6
97,65.1,78.0,68.0,67.1,60.8
98,52.3,69.3,64.2,67.8,62.2
99,82.3,75.7,58.4,61.4,67.5
100,84.6,76.6,52.2,55.0,72.0
101,75.4,64.8,60.0,57.8,66.3
102,79.7,73.7,55.8,40.6,54.8
103,82.8,69.2,49.2,46.0,59.7
104,82.5,80.0,51.1,38.7,56.1
105,84.3,83.7,47.1,61.2,60.1
106,73.5,76.8,43.5,78.1,69.2
107,85.0,65.9,41.7,76.4,69.9
108,83.1,68.2,31.8,63.5,67.0
109,82.9,69.0,46.2,73.4,64.8
110,70.8,64.6,64.9,78.1,63.7
111,64.1,59.5,78.7,65.8,62.6
112,71.4,64.8,68.7,51.0,60.4
113,76.2,75.8,57.8,61.0,60.6
114,72.5,62.3,68.1,80.3,57.6
115,82.7,67.7,66.4,85.4,60.8
116,72.2,60.5,64.2,84.3,60.5
117,77.6,82.8,69.8,84.4,63.9
118,72.8,73.4,63.3,63.7,74.8
119,68.9,66.8,64.0,86.7,60.5
120,78.2,75.2,74.2,82.8,63.1
121,67.4,69.8,74.1,72.1,67.8
122,76.4,66.1,69.6,84.1,72.5
123,73.4,62.2,67.3,64.1,62.2
124,72.6,63.9,75.4,59.3,72.8
125,72.2,60.3,72.2,71.7,65.6
126,70.3,60.0,65.4,72.4,60.9
127,69.3,57.7,75.8,69.5,68.9
128,55.5,50.2,66.1,78.6,52.6
129,48.7,42.6,63.1,74.7,62.0
130,67.6,66.1,64.5,77.8,62.6
131,64.3,59.7,71.6,75.0,52.8
132,61.9,48.1,67.2,78.0,51.9
133,56.5,54.2,68.5,78.2,24.8
134,52.7,48.9,73.5,83.0,48.8
135,55.6,44.3,61.8,82.8,32.8
136,68.3,41.3,66.9,79.5,51.5
137,68.4,74.9,71.6,74.3,53.8
138,47.7,76.9,61.8,77.6,49.1
139,81.9,80.7,69.4,77.5,72.5
140,84.3,85.4,78.1,84.3,70.3
141,79.5,77.6,68.4,85.5,73.1
142,77.1,73.9,62.7,74.3,70.3
143,80.8,81.4,64.5,74.9,71.9
144,75.5,78.2,54.7,82.1,61.0
145,76.0,76.0,54.7,90.9,61.9
146,74.0,75.9,48.3,79.0,67.9
147,66.1,65.0,49.1,65.5,61.7
148,67.6,68.1,64.5,60.5,58.5
149,69.0,64.5,69.6,85.2,59.5
150,69.4,76.3,81.5,65.8,61.2
151,77.4,76.2,77.7,77.2,66.2
152,80.5,80.9,76.9,80.1,72.1
153,71.7,66.7,72.6,78.1,68.1
154,60.9,67.7,66.8,68.8,77.2
155,49.7,57.3,67.9,69.5,65.2
156,47.6,46.4,67.6,73.7,49.2
157,41.5,43.1,63.1,62.9,53.1
158,43.8,53.0,50.7,74.3,59.3
159,46.5,58.4,58.1,84.0,50.3
160,76.4,69.5,55.6,73.2,51.7
161,76.5,75.4,58.8,73.7,62.8
162,65.8,63.0,56.3,70.7,57.1
163,74.3,68.4,52.4,85.3,68.7
164,80.5,75.8,55.6,73.6,59.2
165,70.6,66.7,64.3,80.1,69.5
166,60.7,62.2,51.5,82.8,68.8
167,57.9,67.2,55.6,82.9,67.2
168,52.1,61.6,63.9,71.9,72.2
169,52.0,58.8,49.8,62.9,60.5
170,72.3,64.6,57.7,80.7,63.8
171,69.9,56.2,59.7,82.7,61.0
172,57.7,44.2,59.5,87.8,62.6
173,52.9,46.0,51.4,87.5,56.6
174,42.4,58.5,50.2,83.2,65.6
175,47.5,60.5,58.7,82.7,65.3
176,48.7,66.3,64.5,75.7,63.6
177,48.0,60.0,61.3,77.1,62.8
178,50.8,66.6,54.4,64.2,57.3
179,75.7,60.7,54.4,76.4,56.2
180,69.6,71.8,67.9,71.1,61.9
181,67.0,69.4,86.1,74.6,69.6
182,62.4,67.2,71.9,79.1,65.5
183,57.9,67.5,59.7,70.4,63.4
184,51.1,68.0,69.6,75.1,59.5
185,49.5,68.8,72.5,64.2,58.4
186,50.3,75.8,69.9,63.2,69.4
187,57.9,64.9,74.8,89.9,62.2
188,63.2,71.4,75.7,73.7,71.5
189,61.6,65.6,71.6,73.1,72.3
190,55.5,70.0,63.5,80.5,63.2
191,62.4,78.0,60.0,85.6,71.2
192,62.6,73.0,73.2,82.1,78.3
193,58.7,57.5,82.9,83.8,68.3
194,55.2,52.3,80.1,90.0,55.1
195,59.9,60.7,74.7,84.5,42.0
196,60.4,59.2,66.8,73.0,68.6
197,49.2,54.7,70.6,84.7,64.1
198,53.5,52.4,67.5,79.1,55.8
199,45.8,49.8,75.1,78.9,58.6
200,43.3,41.4,76.5,82.5,53.6
201,39.3,37.4,77.4,77.8,35.4
202,36.5,43.9,80.6,71.5,51.3
203,36.1,52.7,71.5,82.8,53.2
204,33.5,41.1,61.6,92.7,53.9
205,35.1,34.4,68.0,60.6,54.2
206,36.5,31.9,72.1,85.6,35.7
207,27.9,31.7,59.6,76.2,23.9
208,77.0,73.1,78.9,79.6,54.1
209,79.7,64.5,72.8,78.8,74.9
210,83.6,77.7,70.2,87.0,72.1
211,73.7,77.2,77.0,88.3,65.1
212,75.8,75.3,73.6,84.3,59.4
213,78.4,68.4,59.8,72.3,70.8
214,72.8,70.2,69.7,84.3,71.0
215,63.3,61.1,67.2,82.4,60.1
216,76.6,65.4,78.6,76.4,62.8
217,78.9,84.5,83.7,65.5,77.6
218,82.7,66.7,78.7,76.7,58.2
219,75.5,76.2,65.8,78.3,70.2
220,73.8,66.0,68.2,83.0,79.1
221,57.3,70.6,74.7,68.7,72.9
222,73.4,64.1,73.0,80.0,71.3
223,70.3,78.0,68.8,74.7,72.0
224,62.7,72.5,65.3,76.0,73.8
225,64.4,69.8,60.1,64.7,59.1
226,65.3,72.4,78.5,78.8,57.4
227,72.1,65.0,72.9,79.8,66.5
228,61.1,62.0,60.5,78.1,66.0
229,64.1,72.0,73.4,76.8,74.3
230,58.7,66.5,72.2,74.1,72.8
231,71.2,56.2,64.4,85.9,62.8
232,59.7,60.0,60.1,76.4,58.4
233,54.0,54.5,51.5,79.9,73.4
234,72.2,65.4,58.3,75.4,69.7
235,61.5,69.7,66.9,88.9,64.3
236,52.1,79.3,69.0,84.6,54.7
237,69.5,74.1,72.5,92.0,68.5
238,71.6,65.3,74.0,82.9,71.0
239,71.4,64.4,66.8,83.7,61.3
240,63.5,55.8,64.7,78.2,59.1
241,69.2,67.4,71.0,81.1,73.2
242,55.8,75.3,76.3,79.7,73.9
243,68.9,71.8,72.0,71.8,70.6
244,60.1,67.0,64.6,81.1,64.9
245,54.7,74.4,62.4,83.0,73.8
246,64.6,69.6,71.5,66.9,71.5
247,59.2,61.0,73.6,87.5,67.2
248,71.6,59.9,69.1,87.7,71.4
