Year,Type of Facility,Count
1994,ERP Gantries,0
1994,Vehicular Underpasses & Tunnels,10
1994,Flyovers,79
1994,Vehicular Bridges,180
1994,Traffic Lights,1256
1995,ERP Gantries,0
1995,Vehicular Underpasses & Tunnels,12
1995,Flyovers,83
1995,Vehicular Bridges,196
1995,Traffic Lights,1308
1996,ERP Gantries,0
1996,Vehicular Underpasses & Tunnels,12
1996,Flyovers,86
1996,Vehicular Bridges,196
1996,Traffic Lights,1381
1997,ERP Gantries,0
1997,Vehicular Underpasses & Tunnels,14
1997,Flyovers,93
1997,Vehicular Bridges,200
1997,Traffic Lights,1463
1998,Vehicular Underpasses & Tunnels,18
1998,ERP Gantries,33
1998,Flyovers,95
1998,Vehicular Bridges,202
1998,Traffic Lights,1528
1999,Vehicular Underpasses & Tunnels,18
1999,ERP Gantries,41
1999,Flyovers,95
1999,Vehicular Bridges,202
1999,Traffic Lights,1624
2000,Vehicular Underpasses & Tunnels,18
2000,ERP Gantries,42
2000,Flyovers,95
2000,Vehicular Bridges,203
2000,Traffic Lights,1697
2001,Vehicular Underpasses & Tunnels,18
2001,ERP Gantries,42
2001,Flyovers,95
2001,Vehicular Bridges,203
2001,Traffic Lights,1745
2002,Vehicular Underpasses & Tunnels,18
2002,ERP Gantries,45
2002,Flyovers,95
2002,Vehicular Bridges,203
2002,Traffic Lights,1799
2003,Vehicular Underpasses & Tunnels,21
2003,ERP Gantries,45
2003,Flyovers,98
2003,Vehicular Bridges,205
2003,Traffic Lights,1850
2004,Vehicular Underpasses & Tunnels,23
2004,ERP Gantries,45
2004,Flyovers,103
2004,Vehicular Bridges,207
2004,Traffic Lights,1886
2005,Vehicular Underpasses & Tunnels,24
2005,ERP Gantries,48
2005,Flyovers,104
2005,Vehicular Bridges,208
2005,Traffic Lights,1933
2006,Vehicular Underpasses & Tunnels,25
2006,ERP Gantries,48
2006,Flyovers,111
2006,Vehicular Bridges,214
2006,Traffic Lights,1967
2007,Vehicular Underpasses & Tunnels,27
2007,ERP Gantries,58
2007,Flyovers,111
2007,Vehicular Bridges,214
2007,Traffic Lights,2010
2008,Vehicular Underpasses & Tunnels,27
2008,ERP Gantries,66
2008,Flyovers,112
2008,Vehicular Bridges,214
2008,Traffic Lights,2051
2009,Vehicular Underpasses & Tunnels,28
2009,ERP Gantries,66
2009,Flyovers,114
2009,Vehicular Bridges,213
2009,Traffic Lights,2080
2010,Vehicular Underpasses & Tunnels,28
2010,ERP Gantries,69
2010,Flyovers,114
2010,Vehicular Bridges,213
2010,Traffic Lights,2127
2011,Vehicular Underpasses & Tunnels,28
2011,ERP Gantries,70
2011,Flyovers,116
2011,Vehicular Bridges,212
2011,Traffic Lights,2150
2012,Vehicular Underpasses & Tunnels,29
2012,ERP Gantries,72
2012,Flyovers,119
2012,Vehicular Bridges,212
2012,Traffic Lights,2185
2013,Vehicular Underpasses & Tunnels,29
2013,ERP Gantries,74
2013,Flyovers,119
2013,Vehicular Bridges,212
2013,Traffic Lights,2227
2014,Vehicular Underpasses & Tunnels,29
2014,ERP Gantries,77
2014,Flyovers,119
2014,Vehicular Bridges,214
2014,Traffic Lights,2269
2015,Vehicular Underpasses & Tunnels,29
2015,ERP Gantries,77
2015,Flyovers,121
2015,Vehicular Bridges,218
2015,Traffic Lights,2320
2016,Vehicular Underpasses & Tunnels,31
2016,ERP Gantries,77
2016,Flyovers,121
2016,Vehicular Bridges,220
2016,Traffic Lights,2387
2017,Vehicular Underpasses & Tunnels,32
2017,ERP Gantries,78
2017,Flyovers,124
2017,Vehicular Bridges,222
2017,Traffic Lights,2449
