,Year,Month,value
0,1978,Jan,0.631
44,1978,Feb,0.629
88,1978,Mar,0.629
132,1978,Apr,0.631
176,1978,May,0.637
220,1978,Jun,0.645
264,1978,Jul,0.655
308,1978,Aug,0.663
352,1978,Sep,0.669
396,1978,Oct,0.671
440,1978,Nov,0.676
484,1978,Dec,0.685
1,1979,Jan,0.695
45,1979,Feb,0.707
89,1979,Mar,0.733
133,1979,Apr,0.78
177,1979,May,0.823
221,1979,Jun,0.88
265,1979,Jul,0.93
309,1979,Aug,0.967
353,1979,Sep,0.998
397,1979,Oct,1.006
441,1979,Nov,1.019
485,1979,Dec,1.042
2,1980,Jan,1.11
46,1980,Feb,1.186
90,1980,Mar,1.23
134,1980,Apr,1.242
178,1980,May,1.244
222,1980,Jun,1.246
266,1980,Jul,1.247
310,1980,Aug,1.243
354,1980,Sep,1.231
398,1980,Oct,1.223
442,1980,Nov,1.222
486,1980,Dec,1.231
3,1981,Jan,1.269
47,1981,Feb,1.353
91,1981,Mar,1.388
135,1981,Apr,1.381
179,1981,May,1.37
223,1981,Jun,1.362
267,1981,Jul,1.353
311,1981,Aug,1.348
355,1981,Sep,1.358
399,1981,Oct,1.353
443,1981,Nov,1.351
487,1981,Dec,1.348
4,1982,Jan,1.341
48,1982,Feb,1.318
92,1982,Mar,1.268
136,1982,Apr,1.21
180,1982,May,1.224
224,1982,Jun,1.296
268,1982,Jul,1.318
312,1982,Aug,1.31
356,1982,Sep,1.292
400,1982,Oct,1.28
444,1982,Nov,1.268
488,1982,Dec,1.244
5,1983,Jan,1.214
49,1983,Feb,1.17
93,1983,Mar,1.135
137,1983,Apr,1.198
181,1983,May,1.243
225,1983,Jun,1.261
269,1983,Jul,1.272
313,1983,Aug,1.269
357,1983,Sep,1.257
401,1983,Oct,1.239
445,1983,Nov,1.224
489,1983,Dec,1.215
6,1984,Jan,1.2
50,1984,Feb,1.193
94,1984,Mar,1.194
138,1984,Apr,1.211
182,1984,May,1.221
226,1984,Jun,1.214
270,1984,Jul,1.197
314,1984,Aug,1.184
358,1984,Sep,1.189
402,1984,Oct,1.195
446,1984,Nov,1.193
490,1984,Dec,1.179
7,1985,Jan,1.145
51,1985,Feb,1.128
95,1985,Mar,1.155
139,1985,Apr,1.199
183,1985,May,1.223
227,1985,Jun,1.233
271,1985,Jul,1.233
315,1985,Aug,1.222
359,1985,Sep,1.209
403,1985,Oct,1.198
447,1985,Nov,1.201
491,1985,Dec,1.203
8,1986,Jan,1.19
52,1986,Feb,1.119
96,1986,Mar,0.983
140,1986,Apr,0.895
184,1986,May,0.927
228,1986,Jun,0.958
272,1986,Jul,0.895
316,1986,Aug,0.848
360,1986,Sep,0.864
404,1986,Oct,0.837
448,1986,Nov,0.827
492,1986,Dec,0.83
9,1987,Jan,0.868
53,1987,Feb,0.911
97,1987,Mar,0.918
141,1987,Apr,0.94
185,1987,May,0.948
229,1987,Jun,0.966
273,1987,Jul,0.98
317,1987,Aug,1.004
361,1987,Sep,1.0
405,1987,Oct,0.988
449,1987,Nov,0.987
493,1987,Dec,0.975
10,1988,Jan,0.947
54,1988,Feb,0.928
