,Year,Month,value
0,1979,Jan,10.1
43,1979,Feb,12.4
86,1979,Mar,16.5
129,1979,Apr,23.6
172,1979,May,29.2
215,1979,Jun,36.4
258,1979,Jul,42.0
301,1979,Aug,45.9
344,1979,Sep,49.2
387,1979,Oct,49.9
430,1979,Nov,50.7
473,1979,Dec,52.1
1,1980,Jan,59.7
44,1980,Feb,67.8
87,1980,Mar,67.8
130,1980,Apr,59.2
173,1980,May,51.2
216,1980,Jun,41.6
259,1980,Jul,34.1
302,1980,Aug,28.5
345,1980,Sep,23.3
388,1980,Oct,21.6
431,1980,Nov,19.9
474,1980,Dec,18.1
2,1981,Jan,14.3
45,1981,Feb,14.1
88,1981,Mar,12.8
131,1981,Apr,11.2
174,1981,May,10.1
217,1981,Jun,9.3
260,1981,Jul,8.5
303,1981,Aug,8.4
346,1981,Sep,10.3
389,1981,Oct,10.6
432,1981,Nov,10.6
475,1981,Dec,9.5
3,1982,Jan,5.7
46,1982,Feb,-2.6
89,1982,Mar,-8.6
132,1982,Apr,-12.4
175,1982,May,-10.7
218,1982,Jun,-4.8
261,1982,Jul,-2.6
304,1982,Aug,-2.8
347,1982,Sep,-4.9
390,1982,Oct,-5.4
433,1982,Nov,-6.1
476,1982,Dec,-7.7
4,1983,Jan,-9.5
47,1983,Feb,-11.2
90,1983,Mar,-10.5
133,1983,Apr,-1.0
176,1983,May,1.6
219,1983,Jun,-2.7
262,1983,Jul,-3.5
305,1983,Aug,-3.1
348,1983,Sep,-2.7
391,1983,Oct,-3.2
434,1983,Nov,-3.5
477,1983,Dec,-2.3
5,1984,Jan,-1.2
48,1984,Feb,2.0
91,1984,Mar,5.2
134,1984,Apr,1.1
177,1984,May,-1.8
220,1984,Jun,-3.7
263,1984,Jul,-5.9
306,1984,Aug,-6.7
349,1984,Sep,-5.4
392,1984,Oct,-3.6
435,1984,Nov,-2.5
478,1984,Dec,-3.0
6,1985,Jan,-4.6
49,1985,Feb,-5.4
92,1985,Mar,-3.3
135,1985,Apr,-1.0
178,1985,May,0.2
221,1985,Jun,1.6
264,1985,Jul,3.0
307,1985,Aug,3.2
350,1985,Sep,1.7
393,1985,Oct,0.3
436,1985,Nov,0.7
479,1985,Dec,2.0
7,1986,Jan,3.9
50,1986,Feb,-0.8
93,1986,Mar,-14.9
136,1986,Apr,-25.4
179,1986,May,-24.2
222,1986,Jun,-22.3
265,1986,Jul,-27.4
308,1986,Aug,-30.6
351,1986,Sep,-28.5
394,1986,Oct,-30.1
437,1986,Nov,-31.1
480,1986,Dec,-31.0
8,1987,Jan,-27.1
51,1987,Feb,-18.6
94,1987,Mar,-6.6
137,1987,Apr,5.0
180,1987,May,2.3
223,1987,Jun,0.8
266,1987,Jul,9.5
309,1987,Aug,18.4
352,1987,Sep,15.7
395,1987,Oct,18.0
438,1987,Nov,19.3
481,1987,Dec,17.5
9,1988,Jan,9.1
52,1988,Feb,1.9
95,1988,Mar,0.2
138,1988,Apr,0.6
181,1988,May,2.3
224,1988,Jun,0.5
267,1988,Jul,0.4
310,1988,Aug,0.0
353,1988,Sep,-0.8
396,1988,Oct,-1.2
439,1988,Nov,-1.5
482,1988,Dec,-2.3
10,1989,Jan,-0.3
53,1989,Feb,2.9
96,1989,Mar,5.9
139,1989,Apr,16.1
182,1989,May,18.8
225,1989,Jun,18.4
268,1989,Jul,15.0
311,1989,Aug,9.2
354,1989,Sep,8.2
397,1989,Oct,9.7
440,1989,Nov,7.6
483,1989,Dec,8.1
11,1990,Jan,15.5
54,1990,Feb,13.7
97,1990,Mar,10.5
140,1990,Apr,-0.2
183,1990,May,-3.3
226,1990,Jun,-0.9
269,1990,Jul,0.6
312,1990,Aug,13.7
355,1990,Sep,25.5
398,1990,Oct,33.6
441,1990,Nov,36.9
484,1990,Dec,36.9
12,1991,Jan,19.6
55,1991,Feb,10.3
98,1991,Mar,5.8
141,1991,Apr,5.7
184,1991,May,8.5
227,1991,Jun,6.5
270,1991,Jul,4.0
313,1991,Aug,-4.0
356,1991,Sep,-11.0
399,1991,Oct,-17.5
442,1991,Nov,-16.7
485,1991,Dec,-16.2
13,1992,Jan,-13.0
56,1992,Feb,-6.8
99,1992,Mar,-1.4
142,1992,Apr,-1.4
185,1992,May,-1.0
228,1992,Jun,2.1
271,1992,Jul,4.4
314,1992,Aug,2.1
357,1992,Sep,1.9
400,1992,Oct,3.3
443,1992,Nov,2.5
486,1992,Dec,1.6
14,1993,Jan,4.1
57,1993,Feb,4.9
100,1993,Mar,3.7
143,1993,Apr,2.8
186,1993,May,-0.3
229,1993,Jun,-3.6
272,1993,Jul,-5.1
315,1993,Aug,-4.8
358,1993,Sep,-5.8
401,1993,Oct,-2.1
444,1993,Nov,-3.7
487,1993,Dec,-5.4
15,1994,Jan,-6.2
58,1994,Feb,-4.9
101,1994,Mar,-4.6
144,1994,Apr,-4.0
187,1994,May,-4.2
230,1994,Jun,-2.1
273,1994,Jul,2.1
316,1994,Aug,6.9
359,1994,Sep,7.5
402,1994,Oct,1.6
445,1994,Nov,3.7
488,1994,Dec,5.9
16,1995,Jan,7.3
59,1995,Feb,6.0
102,1995,Mar,5.8
145,1995,Apr,6.1
188,1995,May,9.9
231,1995,Jun,9.6
274,1995,Jul,4.4
317,1995,Aug,-1.7
360,1995,Sep,-2.5
403,1995,Oct,-2.2
446,1995,Nov,-5.0
489,1995,Dec,-3.6
17,1996,Jan,-0.3
60,1996,Feb,0.0
103,1996,Mar,3.9
146,1996,Apr,9.0
189,1996,May,9.7
232,1996,Jun,5.7
275,1996,Jul,6.1
318,1996,Aug,6.2
361,1996,Sep,7.2
404,1996,Oct,8.6
447,1996,Nov,12.7
490,1996,Dec,13.6
18,1997,Jan,11.1
61,1997,Feb,11.1
104,1997,Mar,6.1
147,1997,Apr,-1.3
190,1997,May,-6.8
233,1997,Jun,-5.0
276,1997,Jul,-4.9
319,1997,Aug,0.9
362,1997,Sep,3.2
405,1997,Oct,1.0
448,1997,Nov,-2.8
491,1997,Dec,-6.2
19,1998,Jan,-10.0
62,1998,Feb,-13.3
105,1998,Mar,-15.2
148,1998,Apr,-14.1
191,1998,May,-10.7
234,1998,Jun,-10.7
277,1998,Jul,-10.2
320,1998,Aug,-15.4
363,1998,Sep,-18.2
406,1998,Oct,-15.5
449,1998,Nov,-14.6
492,1998,Dec,-15.4
20,1999,Jan,-13.1
63,1999,Feb,-10.8
106,1999,Mar,-4.5
149,1999,Apr,11.4
192,1999,May,7.6
235,1999,Jun,4.9
278,1999,Jul,9.7
321,1999,Aug,18.1
364,1999,Sep,22.3
407,1999,Oct,20.9
450,1999,Nov,21.5
493,1999,Dec,29.3
21,2000,Jan,31.5
64,2000,Feb,40.2
107,2000,Mar,52.1
150,2000,Apr,26.7
193,2000,May,25.9
236,2000,Jun,38.4
279,2000,Jul,32.0
322,2000,Aug,19.1
365,2000,Sep,22.6
408,2000,Oct,21.4
451,2000,Nov,21.9
494,2000,Dec,14.1
22,2001,Jan,12.5
65,2001,Feb,8.2
108,2001,Mar,-5.7
151,2001,Apr,3.6
194,2001,May,16.8
237,2001,Jun,3.9
280,2001,Jul,-4.7
323,2001,Aug,-3.2
366,2001,Sep,-1.6
409,2001,Oct,-10.6
452,2001,Nov,-17.7
495,2001,Dec,-22.3
23,2002,Jan,-20.7
66,2002,Feb,-21.3
109,2002,Mar,-11.9
152,2002,Apr,-7.7
195,2002,May,-16.8
238,2002,Jun,-14.0
281,2002,Jul,-4.4
324,2002,Aug,-0.1
367,2002,Sep,-6.3
410,2002,Oct,6.4
453,2002,Nov,15.9
496,2002,Dec,23.1
24,2003,Jan,28.8
67,2003,Feb,39.3
110,2003,Mar,35.3
153,2003,Apr,14.1
196,2003,May,5.2
239,2003,Jun,4.6
282,2003,Jul,4.7
325,2003,Aug,10.8
368,2003,Sep,17.5
411,2003,Oct,7.2
454,2003,Nov,2.9
497,2003,Dec,4.1
