month,level_1,value
1980-01,Total Mail,619
1980-02,Total Mail,593
1980-03,Total Mail,642
1980-04,Total Mail,642
1980-05,Total Mail,646
1980-06,Total Mail,633
1980-07,Total Mail,668
1980-08,Total Mail,640
1980-09,Total Mail,653
1980-10,Total Mail,716
1980-11,Total Mail,728
1980-12,Total Mail,872
1981-01,Total Mail,685
1981-02,Total Mail,629
1981-03,Total Mail,760
1981-04,Total Mail,667
1981-05,Total Mail,704
1981-06,Total Mail,665
1981-07,Total Mail,752
1981-08,Total Mail,666
1981-09,Total Mail,689
1981-10,Total Mail,717
1981-11,Total Mail,711
1981-12,Total Mail,890
1982-01,Total Mail,616
1982-02,Total Mail,607
1982-03,Total Mail,704
1982-04,Total Mail,659
1982-05,Total Mail,686
1982-06,Total Mail,675
1982-07,Total Mail,696
1982-08,Total Mail,650
1982-09,Total Mail,660
1982-10,Total Mail,723
1982-11,Total Mail,733
1982-12,Total Mail,920
1983-01,Total Mail,649
1983-02,Total Mail,593
1983-03,Total Mail,723
1983-04,Total Mail,713
1983-05,Total Mail,722
1983-06,Total Mail,732
1983-07,Total Mail,747
1983-08,Total Mail,732
1983-09,Total Mail,787
1983-10,Total Mail,813
1983-11,Total Mail,776
1983-12,Total Mail,1043
1984-01,Total Mail,786
1984-02,Total Mail,650
1984-03,Total Mail,770
1984-04,Total Mail,724
1984-05,Total Mail,749
1984-06,Total Mail,758
1984-07,Total Mail,762
1984-08,Total Mail,750
1984-09,Total Mail,723
1984-10,Total Mail,786
1984-11,Total Mail,831
1984-12,Total Mail,997
1985-01,Total Mail,763
1985-02,Total Mail,762
1985-03,Total Mail,837
1985-04,Total Mail,844
1985-05,Total Mail,942
1985-06,Total Mail,827
1985-07,Total Mail,845
1985-08,Total Mail,882
1985-09,Total Mail,832
1985-10,Total Mail,881
1985-11,Total Mail,918
1985-12,Total Mail,1119
1986-01,Total Mail,855
1986-02,Total Mail,705
1986-03,Total Mail,914
1986-04,Total Mail,835
1986-05,Total Mail,909
1986-06,Total Mail,763
1986-07,Total Mail,828
1986-08,Total Mail,773
1986-09,Total Mail,728
1986-10,Total Mail,800
1986-11,Total Mail,808
1986-12,Total Mail,1031
1987-01,Total Mail,701
1987-02,Total Mail,678
1987-03,Total Mail,780
1987-04,Total Mail,807
1987-05,Total Mail,828
1987-06,Total Mail,756
1987-07,Total Mail,820
1987-08,Total Mail,756
1987-09,Total Mail,742
1987-10,Total Mail,811
1987-11,Total Mail,836
1987-12,Total Mail,1044
1988-01,Total Mail,786
1988-02,Total Mail,675
1988-03,Total Mail,759
1988-04,Total Mail,721
1988-05,Total Mail,679
1988-06,Total Mail,707
1988-07,Total Mail,781
1988-08,Total Mail,732
1988-09,Total Mail,741
1988-10,Total Mail,828
1988-11,Total Mail,874
1988-12,Total Mail,1178
1989-01,Total Mail,764
1989-02,Total Mail,671
1989-03,Total Mail,773
1989-04,Total Mail,799
1989-05,Total Mail,790
1989-06,Total Mail,755
1989-07,Total Mail,737
1989-08,Total Mail,750
1989-09,Total Mail,773
1989-10,Total Mail,834
1989-11,Total Mail,856
1989-12,Total Mail,1101
1990-01,Total Mail,718
1990-02,Total Mail,662
1990-03,Total Mail,785
1990-04,Total Mail,670
1990-05,Total Mail,703
1990-06,Total Mail,663
1990-07,Total Mail,677
1990-08,Total Mail,648
1990-09,Total Mail,643
1990-10,Total Mail,692
1990-11,Total Mail,811
1990-12,Total Mail,1022
1991-01,Total Mail,670
1991-02,Total Mail,690
1991-03,Total Mail,839
1991-04,Total Mail,831
1991-05,Total Mail,875
