Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
January 2022 Second Open Bidding Exercise,19/01/2022,2022,Cat A (Cars up to 1600cc and 97kW),531,57898,711,526
January 2022 First Open Bidding Exercise,5/1/2022,2022,Cat A (Cars up to 1600cc and 97kW),543,57599,760,533
December 2021 Second Open Bidding Exercise,22/12/2021,2021,Cat A (Cars up to 1600cc and 97kW),534,58801,740,534
December 2021 First Open Bidding Exercise,8/12/2021,2021,Cat A (Cars up to 1600cc and 97kW),536,57010,771,525
November 2021 Second Open Bidding Exercise,17/11/2021,2021,Cat A (Cars up to 1600cc and 97kW),537,55001,706,535
November 2021 First Open Bidding Exercise,3/11/2021,2021,Cat A (Cars up to 1600cc and 97kW),536,53709,834,531
October 2021 Second Open Bidding Exercise,20/10/2021,2021,Cat A (Cars up to 1600cc and 97kW),811,52709,1304,806
October 2021 First Open Bidding Exercise,6/10/2021,2021,Cat A (Cars up to 1600cc and 97kW),816,47001,1077,812
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat A (Cars up to 1600cc and 97kW),803,48000,1040,795
September 2021 First Open Bidding Exercise,8/9/2021,2021,Cat A (Cars up to 1600cc and 97kW),804,47000,1124,790
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat A (Cars up to 1600cc and 97kW),806,46689,1127,806
August 2021 First Open Bidding Exercise,4/8/2021,2021,Cat A (Cars up to 1600cc and 97kW),805,45189,1021,804
July 2021 Second Open Bidding Exercise,22/07/2021,2021,Cat A (Cars up to 1600cc and 97kW),836,47010,1240,832
July 2021 First Open Bidding Exercise,7/7/2021,2021,Cat A (Cars up to 1600cc and 97kW),867,45001,1149,864
June 2021 Second Open Bidding Exercise,23/06/2021,2021,Cat A (Cars up to 1600cc and 97kW),830,47821,1178,823
June 2021 First Open Bidding Exercise,9/6/2021,2021,Cat A (Cars up to 1600cc and 97kW),858,48510,1439,820
May 2021 Second Open Bidding Exercise,19/05/2021,2021,Cat A (Cars up to 1600cc and 97kW),835,41801,1209,834
May 2021 First Open Bidding Exercise,5/5/2021,2021,Cat A (Cars up to 1600cc and 97kW),832,48002,1100,803
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat A (Cars up to 1600cc and 97kW),890,49640,1290,883
April 2021 First Open Bidding Exercise,7/4/2021,2021,Cat A (Cars up to 1600cc and 97kW),883,45600,1212,880
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat A (Cars up to 1600cc and 97kW),886,44589,1186,879
March 2021 First Open Bidding Exercise,3/3/2021,2021,Cat A (Cars up to 1600cc and 97kW),887,41996,1175,887
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat A (Cars up to 1600cc and 97kW),903,41001,1226,900
February 2021 First Open Bidding Exercise,3/2/2021,2021,Cat A (Cars up to 1600cc and 97kW),885,42000,1098,881
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
January 2021 First Open Bidding Exercise,6/1/2021,2021,Cat A (Cars up to 1600cc and 97kW),963,40609,1280,962
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat A (Cars up to 1600cc and 97kW),969,40556,1403,966
December 2020 First Open Bidding Exercise,9/12/2020,2020,Cat A (Cars up to 1600cc and 97kW),978,40714,1620,978
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat A (Cars up to 1600cc and 97kW),972,37690,1361,966
November 2020 First Open Bidding Exercise,4/11/2020,2020,Cat A (Cars up to 1600cc and 97kW),967,35990,1262,952
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat A (Cars up to 1600cc and 97kW),916,37334,1323,907
October 2020 First Open Bidding Exercise,7/10/2020,2020,Cat A (Cars up to 1600cc and 97kW),912,36534,1272,907
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034",38504,1540,"1,031"
September 2020 First Open Bidding Exercise,9/9/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,035",37766,1737,"1,035"
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034",35710,2099,"1,019"
August 2020 First Open Bidding Exercise,5/8/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,022",33000,2047,"1,007"
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,304",32699,2485,"1,290"
July 2020 First Open Bidding Exercise,8/7/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,289",33520,3061,"1,286"
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,31210,1421,962
March 2020 First Open Bidding Exercise,4/3/2020,2020,Cat A (Cars up to 1600cc and 97kW),978,32699,1436,973
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,32999,1564,973
February 2020 First Open Bidding Exercise,5/2/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,30010,1204,977
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034",35010,1390,"1,025"
January 2020 First Open Bidding Exercise,8/1/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,035",35320,1450,"1,026"
December 2019 Second Open Bidding Exercise,18/12/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,029",32889,1256,"1,013"
December 2019 First Open Bidding Exercise,4/12/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,030",33009,1386,"1,013"
November 2019 Second Open Bidding Exercise,20/11/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,023",32000,1468,"1,012"
November 2019 First Open Bidding Exercise,6/11/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,043",30000,1302,"1,031"
October 2019 Second Open Bidding Exercise,23/10/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,060",32309,1467,"1,056"
October 2019 First Open Bidding Exercise,9/10/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,057",34001,1659,"1,033"
September 2019 Second Open Bidding Exercise,18/09/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,056",31759,1453,"1,053"
September 2019 First Open Bidding Exercise,4/9/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,056",31783,1656,"1,056"
August 2019 Second Open Bidding Exercise,21/08/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,062",31917,1725,"1,062"
August 2019 First Open Bidding Exercise,7/8/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,059",32725,2023,"1,059"
July 2019 Second Open Bidding Exercise,17/07/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,623",26667,1902,"1,617"
July 2019 First Open Bidding Exercise,3/7/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,431",28589,1795,"1,428"
June 2019 Second Open Bidding Exercise,19/06/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,424",26999,1742,"1,225"
June 2019 First Open Bidding Exercise,6/6/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,424",30009,1902,"1,417"
May 2019 Second Open Bidding Exercise,23/05/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,475",27000,1799,"1,475"
May 2019 First Open Bidding Exercise,8/5/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,431",36704,1988,"1,431"
April 2019 Second Open Bidding Exercise,17/04/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,653",33199,2249,"1,603"
April 2019 First Open Bidding Exercise,3/4/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,656",29159,2338,"1,650"
March 2019 Second Open Bidding Exercise,20/03/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,650",26659,2204,"1,647"
March 2019 First Open Bidding Exercise,6/3/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,659",26309,2213,"1,653"
February 2019 Second Open Bidding Exercise,20/02/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,650",26301,2261,"1,650"
February 2019 First Open Bidding Exercise,8/2/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,662",25689,2371,"1,653"
January 2019 Second Open Bidding Exercise,23/01/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,818",26170,2864,"1,818"
January 2019 First Open Bidding Exercise,9/1/2019,2019,Cat A (Cars up to 1600cc and 97kW),"1,815",25920,2707,"1,804"
December 2018 Second Open Bidding Exercise,19/12/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,890",25501,2729,"1,887"
December 2018 First Open Bidding Exercise,5/12/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,878",23568,2177,"1,878"
November 2018 Second Open Bidding Exercise,21/11/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,818",25000,2231,"1,744"
