Year,Engine Type,Count
2006,Petrol,471707
2006,Diesel,7
2006,Petrol-Electric,379
2007,Petrol,513375
2007,Diesel,4
2007,Petrol-Electric,1057
2008,Petrol,545994
2008,Diesel,17
2008,Petrol-Electric,1999
2009,Petrol,571629
2009,Diesel,43
2009,Petrol-Electric,2637
2010,Petrol,589034
2010,Diesel,138
2010,Petrol-Electric,3305
2011,Petrol,596947
2011,Diesel,346
2011,Petrol-Electric,3786
2012,Petrol,609792
2012,Diesel,681
2012,Petrol-Electric,4684
2013,Petrol,612654
2013,Diesel,1412
2013,Petrol-Electric,5020
2014,Petrol,605511
2014,Diesel,3206
2014,Petrol-Electric,5727
2015,Petrol,587900
2015,Diesel,5976
2015,Petrol-Electric,6371
2016,Petrol,578977
2016,Diesel,10364
2016,Petrol-Electric,10075
2017,Petrol,574443
2017,Diesel,15514
2017,Petrol-Electric,20751
2018,Petrol,569673
2018,Diesel,17253
2018,Petrol-Electric,27179
