,Year,Average
0,1978,0.65
1,1979,0.88
2,1980,1.22
3,1981,1.35
4,1982,1.28
5,1983,1.22
6,1984,1.2
7,1985,1.2
8,1986,0.93
9,1987,0.96
10,1988,0.96
11,1989,1.06
12,1990,1.22
13,1991,1.2
14,1992,1.19
15,1993,1.17
16,1994,1.17
17,1995,1.21
18,1996,1.29
19,1997,1.29
20,1998,1.12
21,1999,1.22
22,2000,1.56
23,2001,1.53
24,2002,1.44
25,2003,1.64
26,2004,1.92
27,2005,2.34
28,2006,2.63
29,2007,2.85
30,2008,3.32
31,2009,2.4
32,2010,2.84
33,2011,3.58
34,2012,3.7
35,2013,3.58
36,2014,3.42
37,2015,2.51
38,2016,2.2
39,2017,2.47
40,2018,2.79
41,2019,2.7
42,2020,2.24
43,2021,3.13
