,Year,Average
0,1979,34.83
1,1980,41.07
2,1981,10.81
3,1982,-5.24
4,1983,-4.3
5,1984,-2.12
6,1985,-0.13
7,1986,-21.87
8,1987,4.52
9,1988,0.77
10,1989,9.97
11,1990,15.21
12,1991,-0.42
13,1992,-0.48
14,1993,-1.27
15,1994,0.14
16,1995,2.84
17,1996,6.87
18,1997,0.53
19,1998,-13.61
20,1999,9.78
21,2000,28.82
22,2001,-1.73
23,2002,-4.82
24,2003,14.54
25,2004,17.81
26,2005,21.49
27,2006,14.22
28,2007,8.99
29,2008,17.48
30,2009,-22.52
31,2010,20.27
32,2011,26.2
33,2012,3.57
34,2013,-2.86
35,2014,-4.6
36,2015,-26.59
37,2016,-11.49
38,2017,12.51
39,2018,13.31
40,2019,-3.32
41,2020,-16.12
42,2021,41.38
