financial_year,town_or_estate,population,region,
2019,Marine Parade,20800,Central,
2018,Marine Parade,21400,Central,
2017,Marine Parade,21600,Central,
2016,Marine Parade,22300,Central,
2015,Marine Parade,22500,Central,
2008,Marine Parade,22700,Central,
2010,Marine Parade,23300,Central,
2011,Marine Parade,23300,Central,
2012,Marine Parade,23300,Central,
2013,Marine Parade,23300,Central,
2014,Marine Parade,23300,Central,
2009,Marine Parade,23500,Central,
2019,Bishan,61100,Central,
2018,Bishan,62100,Central,
2017,Bishan,63200,Central,
2016,Bishan,64400,Central,
2015,Bishan,65300,Central,
2012,Bishan,65400,Central,
2013,Bishan,65700,Central,
2014,Bishan,65700,Central,
2008,Bishan,66500,Central,
2009,Bishan,67400,Central,
2010,Bishan,67800,Central,
2011,Bishan,68300,Central,
2019,Queenstown,81200,Central,
2012,Queenstown,81300,Central,
2015,Queenstown,81600,Central,
2008,Queenstown,81700,Central,
2018,Queenstown,81800,Central,
2014,Queenstown,82100,Central,
2017,Queenstown,82500,Central,
2016,Queenstown,82800,Central,
2013,Queenstown,83300,Central,
2010,Queenstown,84400,Central,
2011,Queenstown,84500,Central,
2009,Queenstown,85000,Central,
2019,Geylang,86000,Central,
2018,Geylang,86900,Central,
2017,Geylang,87300,Central,
2016,Geylang,90200,Central,
2015,Geylang,91100,Central,
2014,Geylang,91900,Central,
2011,Geylang,93700,Central,
2012,Geylang,94100,Central,
2013,Geylang,94200,Central,
2008,Geylang,94700,Central,
2009,Geylang,96900,Central,
2010,Geylang,97400,Central,
2008,Kallang/Whampoa,101900,Central,
2008,Toa Payoh,102100,Central,
2019,Toa Payoh,103800,Central,
2018,Toa Payoh,104200,Central,
2015,Kallang/Whampoa,104400,Central,
2009,Kallang/Whampoa,104900,Central,
2017,Toa Payoh,105000,Central,
2019,Kallang/Whampoa,105200,Central,
2009,Toa Payoh,105400,Central,
2014,Kallang/Whampoa,105500,Central,
2018,Kallang/Whampoa,106100,Central,
2016,Kallang/Whampoa,106500,Central,
2010,Toa Payoh,106700,Central,
2017,Kallang/Whampoa,106900,Central,
2015,Toa Payoh,107000,Central,
2016,Toa Payoh,107100,Central,
2013,Kallang/Whampoa,107200,Central,
2011,Toa Payoh,107200,Central,
2011,Kallang/Whampoa,107500,Central,
2014,Toa Payoh,107500,Central,
2012,Kallang/Whampoa,107600,Central,
2010,Kallang/Whampoa,108300,Central,
2012,Toa Payoh,109300,Central,
2013,Toa Payoh,109900,Central,
2008,Bukit Merah,140600,Central,
2019,Bukit Merah,141400,Central,
2018,Bukit Merah,144300,Central,
2016,Bukit Merah,144800,Central,
2015,Bukit Merah,145600,Central,
2017,Bukit Merah,145700,Central,
2012,Bukit Merah,146700,Central,
2013,Bukit Merah,146800,Central,
2009,Bukit Merah,147000,Central,
2014,Bukit Merah,147000,Central,
