max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold
16,1970,TRUE,TRUE,FALSE,FALSE,KWN,142,0,1,138,1,2
14,1975,TRUE,FALSE,FALSE,FALSE,BD,206,0,0,204,0,2
2,2010,FALSE,TRUE,FALSE,FALSE,CT,0,0,0,0,0,0
15,1982,TRUE,FALSE,FALSE,FALSE,BD,102,0,0,0,10,92
4,1975,TRUE,TRUE,FALSE,FALSE,PRC,55,0,0,54,0,1
25,1982,TRUE,FALSE,FALSE,FALSE,BM,96,0,0,0,0,96
12,1975,TRUE,FALSE,FALSE,FALSE,QT,125,0,0,118,0,7
14,1977,TRUE,FALSE,FALSE,FALSE,GL,247,0,0,0,0,0
12,1980,TRUE,TRUE,FALSE,FALSE,BM,95,0,0,62,0,33
2,2009,FALSE,TRUE,FALSE,FALSE,GL,0,0,0,0,0,0
15,1975,TRUE,FALSE,FALSE,FALSE,QT,220,0,0,216,0,4
15,1976,TRUE,FALSE,FALSE,FALSE,GL,219,0,0,214,0,5
13,1973,TRUE,FALSE,FALSE,FALSE,QT,319,0,0,0,0,0
14,1974,TRUE,FALSE,FALSE,FALSE,HG,204,0,0,200,0,4
17,1969,TRUE,FALSE,TRUE,FALSE,CT,84,0,0,0,0,0
14,1974,TRUE,TRUE,FALSE,FALSE,BM,244,0,0,243,0,0
5,1984,FALSE,TRUE,FALSE,FALSE,GL,0,0,0,0,0,0
10,1963,TRUE,FALSE,FALSE,FALSE,KWN,107,0,0,106,1,0
14,1977,TRUE,FALSE,FALSE,FALSE,SGN,179,0,0,174,0,3
11,1968,TRUE,FALSE,FALSE,FALSE,TP,196,0,0,194,0,2
25,1974,TRUE,TRUE,FALSE,FALSE,MP,96,0,0,0,0,96
11,1973,TRUE,FALSE,FALSE,FALSE,WL,159,0,0,158,0,1
14,1970,TRUE,TRUE,FALSE,FALSE,KWN,176,0,0,0,0,0
19,1998,TRUE,FALSE,FALSE,FALSE,GL,156,0,0,0,100,56
23,1974,TRUE,FALSE,FALSE,FALSE,BT,88,0,0,0,0,88
12,1975,TRUE,FALSE,FALSE,FALSE,KWN,154,0,0,0,154,0
7,2016,FALSE,FALSE,FALSE,FALSE,TAP,0,0,0,0,0,0
13,1983,TRUE,FALSE,FALSE,FALSE,CCK,118,0,0,68,48,0
16,1973,TRUE,TRUE,FALSE,FALSE,BM,148,0,0,146,0,2
24,1976,TRUE,TRUE,FALSE,FALSE,CT,163,0,0,158,0,5
4,1977,TRUE,TRUE,FALSE,FALSE,KWN,8,0,0,0,0,0
13,1987,TRUE,FALSE,FALSE,FALSE,BT,132,0,0,0,72,60
1,2003,FALSE,TRUE,TRUE,FALSE,TP,0,0,0,0,0,0
2,1994,FALSE,FALSE,FALSE,FALSE,WL,0,0,0,0,0,0
1,2010,FALSE,FALSE,TRUE,FALSE,QT,0,0,0,0,0,0
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
2,1981,TRUE,TRUE,FALSE,FALSE,GL,2,0,0,0,0,0
1,2000,FALSE,FALSE,FALSE,FALSE,BM,0,0,0,0,0,0
5,2015,FALSE,FALSE,FALSE,TRUE,PRC,0,0,0,0,0,0
1,2005,FALSE,FALSE,FALSE,FALSE,BM,0,0,0,0,0,0
1,1980,FALSE,TRUE,FALSE,FALSE,KWN,0,0,0,0,0,0
4,1988,FALSE,FALSE,FALSE,TRUE,BT,0,0,0,0,0,0
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
50,2009,TRUE,FALSE,FALSE,FALSE,CT,264,0,0,0,176,88
7,2016,FALSE,FALSE,FALSE,TRUE,KWN,0,0,0,0,0,0
5,2000,FALSE,FALSE,FALSE,TRUE,BM,0,0,0,0,0,0
15,1999,TRUE,TRUE,FALSE,FALSE,BD,84,0,0,0,56,28
7,1958,TRUE,FALSE,FALSE,FALSE,GL,53,0,0,0,0,0
16,1977,TRUE,FALSE,FALSE,FALSE,GL,180,0,0,0,180,0
14,1976,TRUE,FALSE,FALSE,FALSE,KWN,207,0,0,180,26,1
13,1976,TRUE,TRUE,FALSE,FALSE,GL,133,0,0,133,0,0
14,1973,TRUE,FALSE,FALSE,FALSE,QT,101,0,0,0,101,0
10,1962,TRUE,FALSE,FALSE,FALSE,BM,120,0,50,0,0,0
4,1986,TRUE,FALSE,FALSE,FALSE,BM,28,0,0,20,8,0
12,1966,TRUE,FALSE,FALSE,FALSE,KWN,132,0,0,0,8,97
12,1970,TRUE,TRUE,FALSE,FALSE,CT,92,0,72,16,4,0
20,1982,TRUE,FALSE,FALSE,FALSE,TP,76,0,0,0,0,76
25,1997,TRUE,FALSE,FALSE,FALSE,TP,96,0,0,0,68,28
22,1975,TRUE,TRUE,FALSE,FALSE,WL,84,0,0,0,0,84
16,1973,TRUE,TRUE,FALSE,FALSE,KWN,224,0,0,0,0,0
13,1981,TRUE,FALSE,FALSE,FALSE,GL,120,0,0,72,48,0
10,1963,TRUE,TRUE,FALSE,FALSE,CT,48,0,0,48,0,0
